timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,event_class,source,risk_level,accel_mag,gyro_mag,jerk,braking_intensity,turn_sharpness,harsh_accel_flag,harsh_brake_flag,harsh_turn_flag,tilt_angle,impact_score
22-3-2023 20:32:39:320352,-3.353295,-4.104586,2.833607,0.037641,-0.069241,0.131234,sudden-acc,kaggle,1,6.01011998373327,0.15308012189046621,0.0,4.104586,0.131234,0,0,0,-33.91355383473009,2.449972030060448
22-3-2023 20:32:39:685071,-2.165347,-2.073578,-0.260807,-0.017754,-0.196808,0.142686,sudden-acc,kaggle,1,3.009397554950492,0.24373733398066044,3.0007224287827783,2.073578,0.142686,0,0,0,-46.01555777407971,2.1770969508092284
22-3-2023 20:32:39:697380,-2.510235,-1.661629,14.320298,0.070931,0.002666,0.153073,sudden-acc,kaggle,1,14.633291683612063,0.16872953993299453,11.62389412866157,1.661629,0.153073,0,0,0,-9.87752953659664,9.391103774023195
22-3-2023 20:32:39:705378,-1.303127,3.090163,5.219082,0.060544,0.144881,0.147213,sudden-acc,kaggle,1,6.203713748024001,0.21523881496142838,8.42957793558806,0.0,0.147213,0,0,0,-12.125631219697691,5.074930524374447
22-3-2023 20:32:39:737391,6.140707,-2.351405,-1.496656,-0.005237,-0.019972,0.128571,sudden-acc,kaggle,1,6.743690911971723,0.13021831282120036,0.5399771639477216,2.351405,0.128571,0,0,0,65.58638578093297,2.898535007819366
22-3-2023 20:32:39:745373,-2.356952,0.953773,-0.069202,0.02752,0.222646,0.098743,sudden-acc,kaggle,1,2.543559431709234,0.2451097137304028,4.200131480262489,0.0,0.098743,0,0,0,-67.91625305554797,2.350996130881561
22-3-2023 20:32:39:753375,-0.919918,-7.601368,8.49552,-0.008433,-0.000264,0.148012,sudden-acc,kaggle,1,11.436822315160274,0.14825227596566604,8.89326288345104,7.601368,0.148012,0,0,0,-4.613555891544679,7.287183473889122
22-3-2023 20:32:39:753375,-0.498388,0.359799,-1.487076,-0.026543,-0.19521,0.130702,sudden-acc,kaggle,1,1.6091118509044051,0.23642015090300572,9.827710464255869,0.0,0.130702,0,0,0,-18.042876900267995,3.6628839249094245
22-3-2023 20:32:39:761372,0.009364,0.541823,0.266106,0.016335,-0.021836,0.052403,sudden-acc,kaggle,1,0.6037153725564722,0.0590738311776035,1.005396478347933,0.0,0.052403,0,0,0,0.8887287264690741,0.5608272418802498
22-3-2023 20:32:39:769370,0.344672,-1.862813,6.263327,0.043766,0.149408,0.114722,sudden-acc,kaggle,1,6.543556843910046,0.19338911681891513,5.939841471353574,1.862813,0.114722,0,0,0,3.0193661823639744,4.457391914015766
22-3-2023 20:32:39:769370,-1.092362,-0.45452,-4.955116,0.028053,0.057261,0.113391,sudden-acc,kaggle,1,5.094410441150183,0.13008962991337933,1.4491464027598635,0.45452,0.113391,0,0,0,-12.381715386202908,2.511534986262046
22-3-2023 20:32:39:817416,-0.057698,0.867551,8.256012,-0.010297,-0.195743,0.126174,sudden-acc,kaggle,1,8.3016689852673,0.23311205145594682,3.207258544117117,0.0,0.126174,0,0,0,-0.3982185398584788,4.352778772778839
22-3-2023 20:32:39:865369,-3.506578,0.41728,0.199043,0.005948,0.131831,0.12431,sudden-acc,kaggle,1,3.536923802449383,0.1812946975644903,4.764745182817917,0.0,0.12431,0,0,0,-82.48921913148041,2.8985814850944758
22-3-2023 20:32:39:905404,-0.048118,-1.220938,-8.289036,-0.082736,-0.269514,0.118451,sudden-acc,kaggle,1,8.378611027554864,0.30580006751634303,4.841687225105481,1.220938,0.118451,0,0,0,-0.329048987303764,4.8956905988084936
